,Unnamed: 0,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
0,1,NCT00006478,,2000-11-06,2010-10-19,,2018-08-02,2003-01-26,2003-01-27,Estimate,2010-10-19,2010-11-17,Estimate,,,,2018-08-02,2018-09-04,Actual,September 2000,,2000-09-30,August 2018,2018-08-31,April 2008,Actual,2008-04-30,March 2008,Actual,2008-03-31,,Interventional,,,Vaccine Therapy Following Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Non-Hodgkin's Lymphoma,Pilot Trial to Evaluate Immune Response Using Idiotype Vaccines Following High-Dose Chemotherapy and Hematopoietic Stem Cell Transplantation for Follicular Lymphoma,Terminated,,Phase 2,19.0,Actual,University of Nebraska,,,,"Genitope suspend drug development by decision made by the FDA March 6, 2008.",False,,,,,,,,,,,,,,,,,2023-06-16 20:46:38,2023-06-16 20:46:38,OTHER,,,,,
2,3,NCT00436007,,2007-02-15,2012-12-19,2012-02-02,2018-07-19,2007-02-15,2007-02-16,Estimate,2013-05-23,2013-05-27,Estimate,2012-02-02,2012-02-07,Estimate,2018-07-19,2018-08-16,Actual,"April 30, 2007",,2007-04-30,April 2017,2017-04-30,"October 7, 2009",Actual,2009-10-07,"September 15, 2008",Actual,2008-09-15,,Interventional,,,"Safety and Immunogenicity Study of GSK Biologicals' Malaria Vaccine 257049, When Incorporated Into an EPI Regimen","Safety and Immunogenicity Study of GSK Biologicals' Investigational Vaccination Regimen Malaria Vaccine 257049, When Incorporated Into an Expanded Program on Immunization (EPI) Regimen That Includes Tritanrix HepB/Hib, OPV, Measles and Yellow Fever Vaccination in Infants",Completed,,Phase 2,511.0,Actual,GlaxoSmithKline,,3.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 20:46:40,2023-06-16 20:46:40,INDUSTRY,,,,,
126,127,NCT00127803,,2005-08-05,2012-03-13,,2012-09-07,2005-08-05,2005-08-09,Estimate,2012-04-19,2012-05-21,Estimate,,,,2012-09-07,2012-09-14,Estimate,July 2005,,2005-07-31,September 2012,2012-09-30,March 2006,Actual,2006-03-31,January 2006,Actual,2006-01-31,,Interventional,,,"Safety, Tolerability, and Immunogenicity Study of a Clostridium Difficile Toxoid Vaccine in Healthy Adult Volunteers","A Phase I Randomized, Placebo-Controlled, Double-Blind, Dose-Ranging Study of the Safety, Tolerability and Immunogenicity of a Clostridium Difficile Toxoid Vaccine, Alum Adsorbed, in Healthy Adult Volunteers (18-55 Years)",Completed,,Phase 1,50.0,Actual,Sanofi,,4.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 20:48:36,2023-06-16 20:48:36,INDUSTRY,,,,,
131,132,NCT01033409,,2009-11-16,,,2011-11-01,2009-12-15,2009-12-16,Estimate,,,,,,,2011-11-01,2011-11-02,Estimate,August 2009,,2009-08-31,November 2011,2011-11-30,July 2011,Actual,2011-07-31,July 2011,Actual,2011-07-31,,Interventional,,,Recombinant Attenuated Salmonella Typhi Vaccine Vectors Producing Streptococcus Pneumoniae PspA,Comparative Phase I Safety and Immunogenicity in Adult Volunteers of Three Recombinant Attenuated Salmonella Typhi Vaccine Vectors Producing Streptococcus Pneumoniae Surface Protein Antigen PspA,Completed,,Phase 1,60.0,Actual,Arizona State University,,4.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 20:48:40,2023-06-16 20:48:40,OTHER,,,,,
320,321,NCT00718666,,2008-07-17,2017-09-28,2013-12-05,2019-06-11,2008-07-18,2008-07-21,Estimate,2018-07-26,2018-08-23,Actual,2013-12-05,2013-12-30,Estimate,2019-06-11,2019-06-26,Actual,"October 20, 2008",Actual,2008-10-20,June 2019,2019-06-30,"March 28, 2014",Actual,2014-03-28,"November 13, 2013",Actual,2013-11-13,,Interventional,,Baseline Period for Nimenrix 1 Group and Nimenrix 2 Group is considered Year 1 and Baseline Period for Nimenrix Naive Group is considered Year 5.,The Long-term Antibody Persistence of GSK Biologicals' Meningococcal Vaccine GSK134612 in Healthy Toddlers,Long Term Antibody Persistence Study of GSK Biologicals' Meningococcal Vaccine GSK 134612 Administered as 1 or 2 Doses to Healthy Toddlers at 9-12 Months of Age and as a Booster Dose at 5 Years Post-primary Vaccination,Completed,,Phase 2,387.0,Actual,GlaxoSmithKline,,3.0,,,False,,,,,,,,,,,,IPD is available via the Clinical Study Data Request site (click on the link provided below),"Access is provided after a research proposal is submitted and has received approval from the Independent Review Panel and after a Data Sharing Agreement is in place. Access is provided for an initial period of 12 months but an extension can be granted, when justified, for up to another 12 months.",http://clinicalstudydatarequest.com,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,2023-06-16 01:44:27,2023-06-16 01:44:27,INDUSTRY,,,,,
327,328,NCT00772954,,2008-10-10,2012-03-13,,2012-04-19,2008-10-10,2008-10-15,Estimate,2012-04-19,2012-05-21,Estimate,,,,2012-04-19,2012-05-21,Estimate,March 2006,,2006-03-31,April 2012,2012-04-30,June 2006,Actual,2006-06-30,June 2006,Actual,2006-06-30,,Interventional,,,"Phase I Randomized, Placebo-Controlled, Double-Blind, Dose Ranging Study, Safety, Tolerability and Immunogenicity","A Phase I Randomized, Placebo-Controlled, Double-Blind, Dose Ranging Study of the Safety, Tolerability and Immunogenicity of Two Doses of a Clostridium Difficile Toxoid Vaccine, Alum Adsorbed, in Healthy Adult Volunteers (18 - 55 Years)",Terminated,,Phase 1,36.0,Actual,Sanofi,,3.0,,Issues with CTM stability.,False,,,,False,,,,,,,,,,,,,2023-06-16 00:58:21,2023-06-16 00:58:21,INDUSTRY,,,,,
407,408,NCT00262028,,2005-12-02,2013-08-30,,2016-01-12,2005-12-02,2005-12-06,Estimate,2016-01-12,2016-02-11,Estimate,,,,2016-01-12,2016-02-11,Estimate,April 2005,,2005-04-30,January 2016,2016-01-31,November 2006,Actual,2006-11-30,November 2006,Actual,2006-11-30,,Interventional,,,Study of the Safety and Immune Response of a Meningococcal Vaccine Administered to Healthy Children,"A Phase 2, Randomized, Single-blind, Controlled, Single-Center Study to Compare the Safety and Immunogenicity of One Dose of Chiron Meningococcal ACWY Conjugate Vaccine With One Dose of Licensed Meningococcal ACWY Polysaccharide Vaccine Administered to Healthy Children 2-10 Years of Age and an Open-label Study to Assess the Safety and Immunogenicity of One Dose of Chiron Meningococcal ACWY Conjugate Vaccine Administered to Healthy Toddlers 12-23 Months of Age",Completed,,Phase 2,910.0,Actual,Novartis,,5.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 20:51:12,2023-06-16 20:51:12,INDUSTRY,,,,,
416,417,NCT01068509,,2010-02-10,2016-03-29,,2017-04-04,2010-02-11,2010-02-15,Estimate,2016-06-23,2016-08-04,Estimate,,,,2017-04-04,2017-05-11,Actual,July 2010,,2010-07-31,June 2016,2016-06-30,April 2015,Actual,2015-04-30,August 2013,Actual,2013-08-31,,Interventional,,All participants: All participants enrolled in the study.,Ovarian Cancer Vaccine for Patients in Remission,"A Randomized, Open-label Phase IIb Trial of Maintenance Therapy With a MUC1 Dendritic Cell Vaccine (Cvac) for Epithelial Ovarian Cancer Patients in First or Second Remission",Completed,,Phase 2,63.0,Actual,Prima BioMed Ltd,,3.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 00:58:36,2023-06-16 00:58:36,INDUSTRY,,,,,
547,548,NCT01073306,,2010-02-19,,,2012-12-31,2010-02-19,2010-02-23,Estimate,,,,,,,2012-12-31,2013-01-03,Estimate,February 2010,,2010-02-28,December 2012,2012-12-31,June 2010,Actual,2010-06-30,June 2010,Actual,2010-06-30,,Interventional,,,Safety and Immune Response to an Investigational Dengue Type 2 Vaccine,A Phase I Evaluation of the Safety and Immunogenicity of rDEN2/4 <U+0394>30(ME) Dengue Serotype 2 Vaccine Given at 10^1 PFU in Healthy Flavivirus-naïve Adult Subjects,Completed,,Phase 1,18.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 20:52:38,2023-06-16 20:52:38,NIH,,,,,
719,720,NCT04075201,,2019-08-28,,,2021-07-26,2019-08-28,2019-08-30,Actual,,,,,,,2021-07-26,2021-07-29,Actual,"July 7, 2019",Actual,2019-07-07,July 2021,2021-07-31,"July 25, 2021",Actual,2021-07-25,"May 30, 2021",Actual,2021-05-30,,Interventional,,,"Clinical Trial of Recombinant Hepatitis B Vaccine (Hansenula Polymorpha, 10µg)","A Phase <U+2160>Clinical Trial of Recombinant Hepatitis B Vaccine (Hansenula Polymorpha, 10µg) With an Open-labelled Design in Adults and a Randomized, Double-blinded, Positive Controlled Design in Children and Neonates",Completed,,Phase 1,144.0,Actual,"Sinovac Biotech Co., Ltd",,5.0,,,False,,,,,False,False,,,,,,,,,,,2023-06-16 00:59:21,2023-06-16 00:59:21,INDUSTRY,,,,,
